codigo,promedio_acumulado_programa_principal(pam),promedio_semestral_programa_principal(pcp),creditos_inscritos,participacion_total,cluster,perfil
c102400ay341307r,3.71,3.64,0,5.0,0,Perfil 1
c102403bs14825c,3.92,4.42,0,4.0,0,Perfil 1
c102406cs43384p,3.36,3.26,18,2.0,1,Perfil 2
c102408fk175286u,3.9,3.1,2,18.0,0,Perfil 1
c102416xx284254u,3.79,4.1,0,6.0,0,Perfil 1
c102418jj169413c,3.85,4.7,0,30.0,0,Perfil 1
c10241hq31173h,3.7,4.6,13,0.0,0,Perfil 1
c102431cj449185q,4.34,4.88,33,2.0,0,Perfil 1
c102441qt281293d,3.65,3.65,0,8.0,0,Perfil 1
c102444rd390223s,3.08,2.97,0,8.0,1,Perfil 2
c102445ti323189l,1.86,1.86,0,0.0,1,Perfil 2
c102456ia45135c,3.32,3.47,21,0.0,1,Perfil 2
c102459bm483288y,4.36,4.7,0,0.0,0,Perfil 1
c102464br19991p,3.77,4.13,0,41.0,0,Perfil 1
c10246rs220206h,3.56,3.2,0,25.0,0,Perfil 1
c10246yb265288a,3.88,3.78,13,9.0,0,Perfil 1
c102474so269258x,3.52,3.77,17,4.0,0,Perfil 1
c102476kx6315e,3.68,3.68,0,0.0,0,Perfil 1
c10247qy113264k,4.22,3.3,0,11.0,0,Perfil 1
c102491mo210106u,3.98,4.14,0,4.0,0,Perfil 1
c102492jk29767w,4.39,4.81,0,4.0,0,Perfil 1
c10249ew443237j,4.06,4.68,0,12.0,0,Perfil 1
c102500ue250173t,2.37,1.25,13,0.0,1,Perfil 2
c102500xt102484m,4.8,4.83,20,7.0,0,Perfil 1
c10261be27668u,4.47,4.9,0,4.0,0,Perfil 1
c10264lo29325a,0.11,0.11,0,0.0,1,Perfil 2
c10266zi230245h,3.43,3.18,24,4.0,1,Perfil 2
c10269eu494251e,4.02,4.4,18,2.0,0,Perfil 1
c10270zd438236o,3.63,4.02,20,2.0,0,Perfil 1
c10278ox467205s,3.32,3.21,21,0.0,1,Perfil 2
c10279az15497y,3.91,4.23,18,24.0,0,Perfil 1
c1027mu4534q,3.9,4.94,11,1.0,0,Perfil 1
c10282zg20917l,4.36,4.9,0,16.0,0,Perfil 1
c10283so19948d,3.95,3.85,0,17.0,0,Perfil 1
c10287hn411285q,3.65,3.65,0,0.0,0,Perfil 1
c10288ex318410k,4.02,4.7,12,2.0,0,Perfil 1
c10299zh29364f,4.35,4.54,18,3.0,0,Perfil 1
c10305wz417123c,3.22,3.0,17,4.0,1,Perfil 2
c1030al88409u,3.88,4.5,10,0.0,0,Perfil 1
c103104lm268273h,3.64,4.6,0,11.0,0,Perfil 1
c10310dh19927y,4.1,4.04,18,7.0,0,Perfil 1
c103112ez468243f,4.22,4.45,33,0.0,0,Perfil 1
c103113fc470265v,4.09,4.42,17,0.0,0,Perfil 1
c103124zs24447o,4.37,4.8,0,2.0,0,Perfil 1
c103126qm373310r,4.27,5.0,0,10.0,0,Perfil 1
c103129rs88365q,3.71,4.13,13,0.0,0,Perfil 1
c103133nn440161a,4.52,4.52,0,27.0,0,Perfil 1
c103146uq34452j,3.92,4.84,18,4.0,0,Perfil 1
c103166df249200i,3.5,3.48,0,10.0,0,Perfil 1
c103172op59333r,3.35,3.99,18,8.0,0,Perfil 1
c103193ok1843o,4.2,4.31,27,15.0,0,Perfil 1
c103195zl9467i,3.85,4.3,0,7.0,0,Perfil 1
c103220tj21735j,4.14,4.34,0,18.0,0,Perfil 1
c103228ch49987m,3.49,3.1,0,28.0,0,Perfil 1
c103228mv340289e,4.08,4.19,17,16.0,0,Perfil 1
c103229iq429203b,1.49,1.49,0,17.0,1,Perfil 2
c10322nz183105u,3.52,3.52,0,2.0,1,Perfil 2
c103236ll23471g,4.26,4.3,0,5.0,0,Perfil 1
c103237sq208348c,4.78,4.86,19,10.0,0,Perfil 1
c103242rd277265z,4.4,4.38,7,0.0,0,Perfil 1
c103255mu51168b,3.5,1.24,14,31.0,1,Perfil 2
c10325rb1302c,3.87,3.94,21,14.0,0,Perfil 1
c10325wx16857d,4.27,4.33,0,21.0,0,Perfil 1
c10326ih24524d,4.07,4.32,19,8.0,0,Perfil 1
c10326pw195257x,3.03,2.32,0,3.0,1,Perfil 2
c10326xa100361n,3.74,4.1,16,56.0,0,Perfil 1
c103276qx81113a,3.77,3.77,18,1.0,0,Perfil 1
c10328qq210249m,4.25,0.23,0,6.0,1,Perfil 2
c10328xt8159t,4.01,4.01,18,4.0,0,Perfil 1
c103305lu157283u,3.89,4.56,0,1.0,0,Perfil 1
c103310pm373392s,4.28,4.99,0,5.0,0,Perfil 1
c103314kw179428q,3.15,2.91,18,1.0,1,Perfil 2
c103317ti484356m,4.04,4.68,33,0.0,0,Perfil 1
c10331cf385218q,3.9,3.86,25,13.0,0,Perfil 1
c103323lb370451x,3.71,4.4,12,0.0,0,Perfil 1
c103324gb8484b,4.11,4.61,0,8.0,0,Perfil 1
c103324jg389432f,3.76,4.08,18,7.0,0,Perfil 1
c103331ve470302h,3.85,4.5,0,4.0,0,Perfil 1
c10333si4287z,3.8,4.25,0,0.0,0,Perfil 1
c103343fq341466p,4.23,4.23,18,9.0,0,Perfil 1
c103343pz129481t,4.01,4.65,0,13.0,0,Perfil 1
c103344hw239309u,4.39,4.17,0,3.0,0,Perfil 1
c103344kn269327p,4.09,4.21,18,7.0,0,Perfil 1
c103360sk133212w,3.93,4.88,5,4.0,0,Perfil 1
c103365xf311167r,4.09,4.33,0,3.0,0,Perfil 1
c103383gq373375x,3.58,3.58,25,3.0,0,Perfil 1
c103391jg118170g,3.01,3.01,19,0.0,1,Perfil 2
c103398me227302w,4.33,4.38,17,7.0,0,Perfil 1
c1033qr285239p,4.0,4.88,33,7.0,0,Perfil 1
c103415bc382487h,4.16,5.0,0,8.0,0,Perfil 1
c103430kl395328e,4.11,4.97,33,0.0,0,Perfil 1
c10343ew222451p,2.6,2.6,0,4.0,1,Perfil 2
c103440pl239106f,3.72,4.19,0,9.0,0,Perfil 1
c103441du40287i,3.24,3.24,20,5.0,1,Perfil 2
c103448yd415205g,3.9,3.73,19,9.0,0,Perfil 1
c10344dk13791b,3.89,4.65,0,8.0,0,Perfil 1
c103457ge11380d,4.04,4.09,0,16.0,0,Perfil 1
c103474pi340492z,3.77,2.57,7,2.0,1,Perfil 2
c103481te378331d,4.0,4.0,19,3.0,0,Perfil 1
c103482xr12227j,3.54,4.6,14,0.0,0,Perfil 1
c103487nu47115v,4.26,4.4,0,3.0,0,Perfil 1
c10348uy84228n,4.5,4.73,9,13.0,0,Perfil 1
c10350yd461161y,4.08,3.94,0,22.0,0,Perfil 1
c10351sx11321q,3.74,4.02,16,4.0,0,Perfil 1
c10352va466410v,1.7,1.7,0,3.0,1,Perfil 2
c10361if17367j,3.78,3.6,18,6.0,0,Perfil 1
c10363vk245389u,3.26,3.37,9,35.0,0,Perfil 1
c10366pa59223n,3.2,3.5,0,6.0,1,Perfil 2
c10368td2122q,4.26,4.81,0,19.0,0,Perfil 1
c10371ic393372k,4.44,4.71,0,10.0,0,Perfil 1
c10371qy167179y,4.65,4.91,0,64.0,0,Perfil 1
c10374im485420c,1.34,1.34,0,1.0,1,Perfil 2
c10374jz4196z,2.75,2.1,9,0.0,1,Perfil 2
